sentence,label
tell me the ADX of Google.,stock
analyze the moving average of Google.,stock
give me the EMA of Apple.,stock
tell me the moving average of Netflix.,stock
what is Nvidia's ADX.,stock
can you display the RSI of Google.,stock
compare Google's moving average.,stock
can you display the Bollinger Bands of Nvidia.,stock
can you display the ADX of Nvidia.,stock
analyze the Bollinger Bands of Meta.,stock
show me the ADX of Nvidia.,stock
What's the weather in Seoul today?,nonstock
give me Microsoft's MACD.,stock
tell me the Ichimoku Cloud of Netflix.,stock
can you display Nvidia's SMA.,stock
give me the MACD of Tesla.,stock
analyze the ADX of Tesla.,stock
tell me the EMA of Tesla.,stock
tell me Google's MACD.,stock
compare AMD's MACD.,stock
analyze the moving average of AMD.,stock
can you display the SMA of Netflix.,stock
what is Google's moving average.,stock
can you display the RSI of Meta.,stock
tell me the ADX of AMD.,stock
what is Intel's RSI.,stock
compare the EMA of Microsoft.,stock
show me the moving average of Intel.,stock
can you display Intel's SMA.,stock
analyze Netflix's moving average.,stock
compare Intel's moving average.,stock
tell me the MACD of Intel.,stock
what is the moving average of Apple.,stock
give me the EMA of Meta.,stock
give me the SMA of Google.,stock
what is Tesla's moving average.,stock
tell me Netflix's moving average.,stock
analyze Apple's ADX.,stock
analyze the SMA of Microsoft.,stock
analyze the RSI of Intel.,stock
tell me Microsoft's SMA.,stock
tell me the RSI of Meta.,stock
tell me the Bollinger Bands of Netflix.,stock
What's the weather in Hanoi today?,nonstock
can you display the SMA of Microsoft.,stock
show me AMD's EMA.,stock
analyze Tesla's EMA.,stock
compare Google's EMA.,stock
give me Meta's moving average.,stock
tell me Netflix's EMA.,stock
show me Google's moving average.,stock
show me Apple's MACD.,stock
tell me Nvidia's EMA.,stock
analyze the moving average of Microsoft.,stock
give me Intel's EMA.,stock
give me the ADX of AMD.,stock
How to cook chicken curry?,nonstock
show me the moving average of Netflix.,stock
what is the Bollinger Bands of Meta.,stock
show me Google's Ichimoku Cloud.,stock
can you display Meta's ADX.,stock
can you display AMD's Ichimoku Cloud.,stock
analyze Intel's moving average.,stock
what is AMD's ADX.,stock
analyze the moving average of Nvidia.,stock
analyze the EMA of Intel.,stock
can you display Nvidia's Ichimoku Cloud.,stock
give me the EMA of Microsoft.,stock
what is the SMA of Netflix.,stock
compare the Bollinger Bands of Intel.,stock
tell me Microsoft's MACD.,stock
compare Tesla's EMA.,stock
give me AMD's Bollinger Bands.,stock
can you display Netflix's MACD.,stock
Tell me how to cook dinner.,nonstock
give me the MACD of Apple.,stock
what is the Ichimoku Cloud of Nvidia.,stock
what is Amazon's Bollinger Bands.,stock
can you display Amazon's EMA.,stock
tell me the Ichimoku Cloud of Google.,stock
can you display Intel's moving average.,stock
what is Microsoft's MACD.,stock
can you display Apple's EMA.,stock
what is the EMA of Meta.,stock
what is the MACD of Amazon.,stock
show me Netflix's moving average.,stock
give me Nvidia's Bollinger Bands.,stock
analyze AMD's Ichimoku Cloud.,stock
give me the Ichimoku Cloud of Microsoft.,stock
analyze Amazon's MACD.,stock
analyze Microsoft's RSI.,stock
give me the EMA of Nvidia.,stock
what is Amazon's EMA.,stock
what is the ADX of AMD.,stock
give me Apple's Bollinger Bands.,stock
what is Meta's SMA.,stock
tell me Amazon's Bollinger Bands.,stock
give me the SMA of Apple.,stock
can you display the EMA of Apple.,stock
Tell me how to watch a movie.,nonstock
can you display the EMA of Amazon.,stock
tell me Apple's ADX.,stock
give me the ADX of Microsoft.,stock
analyze Google's moving average.,stock
compare Netflix's Ichimoku Cloud.,stock
tell me the SMA of Amazon.,stock
analyze the Ichimoku Cloud of Intel.,stock
compare the SMA of AMD.,stock
compare the Bollinger Bands of Meta.,stock
give me Tesla's RSI.,stock
give me the moving average of Tesla.,stock
show me Netflix's EMA.,stock
compare Nvidia's Ichimoku Cloud.,stock
give me Netflix's MACD.,stock
what is Intel's Bollinger Bands.,stock
show me the ADX of Microsoft.,stock
tell me the EMA of Netflix.,stock
what is Microsoft's moving average.,stock
show me the EMA of Microsoft.,stock
give me the EMA of AMD.,stock
compare AMD's ADX.,stock
show me Intel's Ichimoku Cloud.,stock
give me Google's RSI.,stock
compare Microsoft's SMA.,stock
show me Microsoft's ADX.,stock
analyze Apple's EMA.,stock
compare Amazon's Ichimoku Cloud.,stock
what is the MACD of Nvidia.,stock
show me Amazon's MACD.,stock
compare the EMA of Meta.,stock
analyze the Ichimoku Cloud of Apple.,stock
compare AMD's SMA.,stock
what is Tesla's EMA.,stock
compare Netflix's moving average.,stock
can you display AMD's MACD.,stock
give me Amazon's ADX.,stock
can you display Microsoft's RSI.,stock
show me AMD's RSI.,stock
show me Amazon's Ichimoku Cloud.,stock
tell me the moving average of AMD.,stock
tell me Meta's Ichimoku Cloud.,stock
give me Meta's MACD.,stock
show me Apple's SMA.,stock
what is the moving average of Intel.,stock
show me the ADX of Google.,stock
analyze Amazon's EMA.,stock
compare the SMA of Meta.,stock
analyze AMD's EMA.,stock
analyze the SMA of Netflix.,stock
compare Apple's Bollinger Bands.,stock
give me Nvidia's EMA.,stock
show me the Ichimoku Cloud of Tesla.,stock
analyze Google's RSI.,stock
give me AMD's RSI.,stock
tell me Google's moving average.,stock
give me Meta's SMA.,stock
can you display the RSI of Apple.,stock
can you display Microsoft's MACD.,stock
What's the weather in Bangkok today?,nonstock
tell me Amazon's RSI.,stock
show me the ADX of Tesla.,stock
analyze Microsoft's ADX.,stock
can you display the Bollinger Bands of Tesla.,stock
tell me the MACD of Tesla.,stock
analyze the Bollinger Bands of AMD.,stock
can you display the Bollinger Bands of Apple.,stock
show me the RSI of Meta.,stock
give me Meta's RSI.,stock
what is Tesla's MACD.,stock
give me AMD's EMA.,stock
what is Google's SMA.,stock
tell me the SMA of Tesla.,stock
analyze Nvidia's MACD.,stock
can you display Intel's Ichimoku Cloud.,stock
give me the moving average of AMD.,stock
compare the moving average of Tesla.,stock
show me Meta's MACD.,stock
compare the RSI of Tesla.,stock
compare the SMA of Intel.,stock
show me the moving average of Meta.,stock
tell me the Ichimoku Cloud of Amazon.,stock
show me Meta's SMA.,stock
compare Intel's Bollinger Bands.,stock
tell me Nvidia's MACD.,stock
can you display the ADX of AMD.,stock
what is the MACD of Google.,stock
what is the SMA of Nvidia.,stock
analyze the Ichimoku Cloud of Google.,stock
analyze the ADX of Nvidia.,stock
compare the moving average of Microsoft.,stock
what is the Bollinger Bands of Netflix.,stock
analyze Intel's Ichimoku Cloud.,stock
tell me Google's SMA.,stock
tell me the SMA of Google.,stock
give me the MACD of Nvidia.,stock
give me Microsoft's ADX.,stock
compare Apple's SMA.,stock
tell me Intel's RSI.,stock
what is the EMA of Google.,stock
tell me the Ichimoku Cloud of Microsoft.,stock
analyze the Ichimoku Cloud of Microsoft.,stock
can you display Nvidia's MACD.,stock
can you display Apple's Ichimoku Cloud.,stock
give me the Bollinger Bands of AMD.,stock
can you display the MACD of Tesla.,stock
compare the EMA of Nvidia.,stock
can you display the Bollinger Bands of AMD.,stock
What's the weather in London today?,nonstock
tell me Amazon's MACD.,stock
give me the moving average of Microsoft.,stock
compare Apple's RSI.,stock
give me the ADX of Nvidia.,stock
tell me Intel's Ichimoku Cloud.,stock
what is Google's Ichimoku Cloud.,stock
show me Google's ADX.,stock
compare the RSI of Intel.,stock
what is the ADX of Apple.,stock
analyze the EMA of Meta.,stock
analyze the MACD of Microsoft.,stock
tell me Intel's moving average.,stock
tell me the moving average of Tesla.,stock
what is Nvidia's SMA.,stock
what is Microsoft's RSI.,stock
analyze Microsoft's EMA.,stock
give me the Ichimoku Cloud of Amazon.,stock
what is Meta's EMA.,stock
what is the RSI of Apple.,stock
can you display Apple's RSI.,stock
compare the Ichimoku Cloud of Tesla.,stock
tell me the EMA of AMD.,stock
can you display Tesla's MACD.,stock
show me the RSI of Apple.,stock
tell me Google's ADX.,stock
tell me the SMA of AMD.,stock
can you display the SMA of Tesla.,stock
what is the ADX of Amazon.,stock
show me Meta's EMA.,stock
tell me Nvidia's Bollinger Bands.,stock
give me the MACD of Microsoft.,stock
analyze Google's ADX.,stock
can you display Meta's SMA.,stock
compare Nvidia's RSI.,stock
tell me the ADX of Meta.,stock
can you display the moving average of Apple.,stock
analyze Microsoft's SMA.,stock
give me the Ichimoku Cloud of Intel.,stock
analyze Tesla's ADX.,stock
give me Google's Ichimoku Cloud.,stock
tell me Meta's RSI.,stock
tell me Tesla's RSI.,stock
analyze Meta's ADX.,stock
analyze Tesla's Ichimoku Cloud.,stock
How to cook pasta?,nonstock
compare the ADX of Meta.,stock
can you display Nvidia's moving average.,stock
What's the weather in Dubai today?,nonstock
can you display the Ichimoku Cloud of Amazon.,stock
compare Tesla's MACD.,stock
what is the ADX of Netflix.,stock
tell me Netflix's Bollinger Bands.,stock
tell me the moving average of Intel.,stock
what is the RSI of Netflix.,stock
compare AMD's moving average.,stock
give me Google's ADX.,stock
analyze Nvidia's ADX.,stock
What's the weather in Paris today?,nonstock
compare Tesla's ADX.,stock
compare Google's ADX.,stock
give me the Bollinger Bands of Apple.,stock
show me Google's MACD.,stock
analyze the RSI of Nvidia.,stock
tell me Netflix's MACD.,stock
what is the EMA of AMD.,stock
compare Netflix's SMA.,stock
analyze the moving average of Tesla.,stock
show me Apple's ADX.,stock
compare Google's RSI.,stock
compare Meta's SMA.,stock
give me Netflix's Ichimoku Cloud.,stock
analyze the RSI of AMD.,stock
show me AMD's ADX.,stock
compare Netflix's RSI.,stock
can you display the Bollinger Bands of Netflix.,stock
compare the moving average of Amazon.,stock
what is the Ichimoku Cloud of Amazon.,stock
analyze the RSI of Apple.,stock
compare Meta's Bollinger Bands.,stock
give me the SMA of AMD.,stock
what is the Ichimoku Cloud of Netflix.,stock
tell me Intel's Bollinger Bands.,stock
analyze the ADX of Meta.,stock
analyze Apple's RSI.,stock
compare the RSI of Netflix.,stock
analyze Nvidia's EMA.,stock
show me Microsoft's MACD.,stock
What's the weather in Berlin today?,nonstock
what is the moving average of Meta.,stock
what is Netflix's EMA.,stock
compare Intel's EMA.,stock
show me the SMA of Amazon.,stock
what is the moving average of Tesla.,stock
compare the Ichimoku Cloud of Microsoft.,stock
tell me the MACD of AMD.,stock
tell me Google's RSI.,stock
can you display the Ichimoku Cloud of Netflix.,stock
can you display Tesla's EMA.,stock
what is Intel's Ichimoku Cloud.,stock
give me Intel's Bollinger Bands.,stock
compare Intel's MACD.,stock
tell me AMD's Bollinger Bands.,stock
give me Microsoft's SMA.,stock
analyze the RSI of Meta.,stock
analyze the moving average of Meta.,stock
compare the SMA of Netflix.,stock
show me Netflix's Bollinger Bands.,stock
tell me the SMA of Intel.,stock
can you display Intel's RSI.,stock
what is Meta's Bollinger Bands.,stock
analyze the EMA of AMD.,stock
can you display Microsoft's moving average.,stock
show me Apple's Ichimoku Cloud.,stock
give me Tesla's Ichimoku Cloud.,stock
How to cook noodles?,nonstock
can you display AMD's EMA.,stock
show me the Ichimoku Cloud of Microsoft.,stock
compare the moving average of Apple.,stock
compare Tesla's SMA.,stock
what is AMD's Ichimoku Cloud.,stock
analyze Apple's Bollinger Bands.,stock
can you display the SMA of AMD.,stock
what is the Bollinger Bands of Amazon.,stock
show me Apple's EMA.,stock
what is Microsoft's SMA.,stock
compare Microsoft's EMA.,stock
analyze the Ichimoku Cloud of Meta.,stock
analyze the ADX of Google.,stock
show me Nvidia's SMA.,stock
give me the EMA of Tesla.,stock
what is the EMA of Nvidia.,stock
show me Google's EMA.,stock
tell me Tesla's moving average.,stock
what is Nvidia's Bollinger Bands.,stock
show me the Bollinger Bands of Intel.,stock
compare the Ichimoku Cloud of Amazon.,stock
give me AMD's moving average.,stock
what is the RSI of Intel.,stock
what is the SMA of Apple.,stock
What's the weather in New York today?,nonstock
compare Netflix's Bollinger Bands.,stock
can you display the MACD of Apple.,stock
give me the EMA of Intel.,stock
tell me the RSI of Tesla.,stock
show me Microsoft's RSI.,stock
give me Netflix's moving average.,stock
show me the RSI of Microsoft.,stock
give me Apple's moving average.,stock
tell me Intel's SMA.,stock
give me the RSI of Google.,stock
analyze AMD's ADX.,stock
can you display Tesla's ADX.,stock
compare the EMA of Google.,stock
show me the SMA of Intel.,stock
compare Amazon's MACD.,stock
can you display Apple's moving average.,stock
can you display Microsoft's Ichimoku Cloud.,stock
can you display the ADX of Meta.,stock
analyze Nvidia's Ichimoku Cloud.,stock
what is the moving average of Microsoft.,stock
give me the Bollinger Bands of Nvidia.,stock
tell me the ADX of Netflix.,stock
can you display the MACD of Google.,stock
compare the Ichimoku Cloud of AMD.,stock
give me the SMA of Microsoft.,stock
what is Apple's Bollinger Bands.,stock
give me the MACD of Meta.,stock
compare Microsoft's Bollinger Bands.,stock
compare the SMA of Apple.,stock
give me Intel's ADX.,stock
what is Meta's RSI.,stock
give me Nvidia's ADX.,stock
what is Intel's ADX.,stock
compare Apple's MACD.,stock
compare the ADX of Nvidia.,stock
can you display Google's SMA.,stock
can you display the moving average of Amazon.,stock
Tell me how to read a book.,nonstock
what is the EMA of Tesla.,stock
can you display Apple's SMA.,stock
How to cook sushi?,nonstock
can you display Google's Bollinger Bands.,stock
give me the Ichimoku Cloud of Meta.,stock
show me AMD's moving average.,stock
tell me Amazon's moving average.,stock
compare the Bollinger Bands of Google.,stock
analyze the Bollinger Bands of Google.,stock
give me the Ichimoku Cloud of Tesla.,stock
what is the EMA of Amazon.,stock
what is the Bollinger Bands of Microsoft.,stock
show me Apple's moving average.,stock
tell me Amazon's EMA.,stock
tell me the ADX of Intel.,stock
can you display the EMA of Intel.,stock
tell me Apple's RSI.,stock
compare AMD's Bollinger Bands.,stock
tell me the RSI of Microsoft.,stock
analyze the Ichimoku Cloud of AMD.,stock
show me the RSI of Tesla.,stock
can you display the ADX of Netflix.,stock
what is Tesla's ADX.,stock
what is Netflix's Ichimoku Cloud.,stock
compare the MACD of Amazon.,stock
give me Meta's Ichimoku Cloud.,stock
analyze Netflix's RSI.,stock
can you display Netflix's moving average.,stock
How to cook salad?,nonstock
tell me Google's Bollinger Bands.,stock
can you display Amazon's ADX.,stock
compare the RSI of AMD.,stock
what is the RSI of Google.,stock
tell me Tesla's ADX.,stock
compare Netflix's EMA.,stock
can you display the SMA of Intel.,stock
give me the ADX of Amazon.,stock
can you display the RSI of Intel.,stock
compare the Ichimoku Cloud of Netflix.,stock
show me Tesla's ADX.,stock
give me Amazon's RSI.,stock
compare Nvidia's moving average.,stock
analyze the MACD of AMD.,stock
what is Apple's MACD.,stock
show me the MACD of Nvidia.,stock
tell me Intel's EMA.,stock
can you display the SMA of Nvidia.,stock
Tell me how to travel to Italy.,nonstock
tell me the ADX of Amazon.,stock
show me the MACD of Amazon.,stock
what is Netflix's RSI.,stock
give me Apple's RSI.,stock
show me Microsoft's EMA.,stock
compare Apple's ADX.,stock
tell me the moving average of Nvidia.,stock
give me the moving average of Amazon.,stock
can you display the moving average of Meta.,stock
can you display Google's MACD.,stock
give me Netflix's Bollinger Bands.,stock
compare Meta's ADX.,stock
give me Nvidia's RSI.,stock
show me the Ichimoku Cloud of Nvidia.,stock
what is AMD's MACD.,stock
compare the ADX of Apple.,stock
tell me the moving average of Microsoft.,stock
what is Apple's ADX.,stock
give me the ADX of Intel.,stock
compare the SMA of Amazon.,stock
give me Google's moving average.,stock
can you display AMD's RSI.,stock
tell me the EMA of Nvidia.,stock
compare AMD's EMA.,stock
tell me Nvidia's RSI.,stock
give me Tesla's moving average.,stock
analyze Netflix's Bollinger Bands.,stock
tell me the EMA of Microsoft.,stock
give me the Bollinger Bands of Tesla.,stock
tell me the RSI of Intel.,stock
tell me AMD's SMA.,stock
tell me the moving average of Google.,stock
analyze the Bollinger Bands of Nvidia.,stock
analyze Google's Bollinger Bands.,stock
can you display the MACD of Amazon.,stock
tell me the MACD of Apple.,stock
give me the Ichimoku Cloud of Google.,stock
can you display Nvidia's RSI.,stock
what is the RSI of Meta.,stock
can you display Google's moving average.,stock
tell me Apple's Ichimoku Cloud.,stock
tell me the Ichimoku Cloud of Intel.,stock
show me Intel's moving average.,stock
what is Tesla's RSI.,stock
tell me Intel's MACD.,stock
give me the MACD of AMD.,stock
compare the ADX of Netflix.,stock
tell me Tesla's Bollinger Bands.,stock
analyze Tesla's MACD.,stock
give me Amazon's EMA.,stock
can you display the Ichimoku Cloud of Intel.,stock
show me Netflix's MACD.,stock
analyze the moving average of Intel.,stock
analyze Intel's RSI.,stock
give me Meta's ADX.,stock
give me the moving average of Apple.,stock
can you display the RSI of Nvidia.,stock
what is the SMA of AMD.,stock
tell me the Bollinger Bands of Microsoft.,stock
show me the ADX of AMD.,stock
can you display the Bollinger Bands of Intel.,stock
tell me Meta's ADX.,stock
compare the Bollinger Bands of Apple.,stock
compare the Bollinger Bands of Nvidia.,stock
compare Microsoft's RSI.,stock
give me the moving average of Nvidia.,stock
analyze the moving average of Amazon.,stock
analyze Microsoft's Bollinger Bands.,stock
what is Nvidia's Ichimoku Cloud.,stock
compare the EMA of Apple.,stock
analyze the EMA of Microsoft.,stock
what is Meta's moving average.,stock
can you display the Ichimoku Cloud of Meta.,stock
show me Intel's MACD.,stock
what is Intel's SMA.,stock
show me the ADX of Intel.,stock
give me the moving average of Netflix.,stock
tell me the EMA of Intel.,stock
tell me Amazon's ADX.,stock
can you display Microsoft's EMA.,stock
can you display Amazon's moving average.,stock
give me the RSI of Tesla.,stock
tell me Netflix's Ichimoku Cloud.,stock
can you display Netflix's ADX.,stock
analyze Intel's Bollinger Bands.,stock
show me Nvidia's ADX.,stock
compare Netflix's ADX.,stock
analyze Intel's ADX.,stock
compare Nvidia's SMA.,stock
give me Microsoft's RSI.,stock
what is Nvidia's RSI.,stock
what is the Ichimoku Cloud of Google.,stock
give me Netflix's SMA.,stock
analyze Amazon's RSI.,stock
How to cook omelette?,nonstock
what is Meta's MACD.,stock
tell me Nvidia's ADX.,stock
analyze the ADX of Intel.,stock
analyze the moving average of Apple.,stock
can you display AMD's Bollinger Bands.,stock
analyze Intel's EMA.,stock
compare the EMA of Netflix.,stock
what is the EMA of Netflix.,stock
can you display Intel's EMA.,stock
analyze the MACD of Meta.,stock
compare the Bollinger Bands of Microsoft.,stock
what is the Bollinger Bands of Intel.,stock
analyze the SMA of Intel.,stock
analyze Meta's Bollinger Bands.,stock
analyze the MACD of Google.,stock
show me the SMA of Nvidia.,stock
what is Microsoft's EMA.,stock
what is the SMA of Google.,stock
compare the SMA of Google.,stock
compare Intel's ADX.,stock
show me the EMA of Intel.,stock
can you display the EMA of Netflix.,stock
compare Google's SMA.,stock
show me the Bollinger Bands of Google.,stock
can you display Microsoft's Bollinger Bands.,stock
analyze Nvidia's moving average.,stock
can you display Amazon's RSI.,stock
give me Tesla's SMA.,stock
compare the Bollinger Bands of Netflix.,stock
give me Netflix's ADX.,stock
give me the Bollinger Bands of Meta.,stock
give me Intel's MACD.,stock
give me AMD's MACD.,stock
compare the Ichimoku Cloud of Meta.,stock
analyze the EMA of Amazon.,stock
compare Netflix's MACD.,stock
can you display the ADX of Intel.,stock
What's the weather in Sydney today?,nonstock
analyze the SMA of Amazon.,stock
analyze the MACD of Intel.,stock
give me the Bollinger Bands of Intel.,stock
show me the SMA of Meta.,stock
give me AMD's ADX.,stock
can you display the RSI of AMD.,stock
How to cook pancakes?,nonstock
can you display the EMA of Nvidia.,stock
How to cook rice?,nonstock
